rowid,suburb_name,state,postcode,ssc,norm_key,ssc_match,confidence
29922,UPPER FERNTREE GULLY,NSW,,,UPPER FERNTREE GULLY|NSW,,83
29924,UPWEY,NSW,,,UPWEY|NSW,,78
29934,BELGRAVE SOUTH,NSW,,,BELGRAVE SOUTH|NSW,,82
29944,CAULFIELD SOUTH,NSW,,,CAULFIELD SOUTH|NSW,,83
29948,BOORAN ROAD PO,NSW,,,BOORAN ROAD PO|NSW,,78
29950,CARNEGIE,NSW,,,CARNEGIE|NSW,,82
29952,GLEN HUNTLY,NSW,,,GLEN HUNTLY|NSW,,80
29954,MURRUMBEENA,NSW,,,MURRUMBEENA|NSW,,81
29956,DANDENONG SOUTH,NSW,,,DANDENONG SOUTH|NSW,,80
29958,BENTLEIGH EAST,NSW,,,BENTLEIGH EAST|NSW,,83
29960,COATESVILLE,NSW,,,COATESVILLE|NSW,,83
29962,HUGHESDALE,NSW,,,HUGHESDALE|NSW,,79
29968,OAKLEIGH EAST,NSW,,,OAKLEIGH EAST|NSW,,76
29970,OAKLEIGH SOUTH,NSW,,,OAKLEIGH SOUTH|NSW,,78
29974,NOTTING HILL,NSW,,,NOTTING HILL|NSW,,81
29978,CLAYTON SOUTH,NSW,,,CLAYTON SOUTH|NSW,,82
29984,SANDOWN VILLAGE,NSW,,,SANDOWN VILLAGE|NSW,,79
29988,DINGLEY VILLAGE,NSW,,,DINGLEY VILLAGE|NSW,,84
29990,SPRINGVALE SOUTH,NSW,,,SPRINGVALE SOUTH|NSW,,82
29992,KEYSBOROUGH,NSW,,,KEYSBOROUGH|NSW,,80
29996,NOBLE PARK EAST,NSW,,,NOBLE PARK EAST|NSW,,79
29998,NOBLE PARK NORTH,NSW,,,NOBLE PARK NORTH|NSW,,80
30000,BANGHOLME,NSW,,,BANGHOLME|NSW,,82
30004,DANDENONG EAST,NSW,,,DANDENONG EAST|NSW,,83
30006,DANDENONG NORTH,NSW,,,DANDENONG NORTH|NSW,,84
30008,DUNEARN,NSW,,,DUNEARN|NSW,,78
30010,SCORESBY BC,NSW,,,SCORESBY BC|NSW,,74
30012,DOVETON,NSW,,,DOVETON|NSW,,82
30014,EUMEMMERRING,NSW,,,EUMEMMERRING|NSW,,81
30018,SCORESBY,NSW,,,SCORESBY|NSW,,83
30020,KNOXFIELD,NSW,,,KNOXFIELD|NSW,,83
30022,PRAHRAN,NSW,,,PRAHRAN|NSW,,84
30024,PRAHRAN EAST,NSW,,,PRAHRAN EAST|NSW,,77
30030,ST KILDA SOUTH,NSW,,,ST KILDA SOUTH|NSW,,78
30032,ST KILDA WEST,NSW,,,ST KILDA WEST|NSW,,76
30035,ST KILDA EAST,NSW,,,ST KILDA EAST|NSW,,79
30037,BRIGHTON ROAD,NSW,,,BRIGHTON ROAD|NSW,,79
30041,ELSTERNWICK,NSW,,,ELSTERNWICK|NSW,,80
30043,GARDENVALE,NSW,,,GARDENVALE|NSW,,81
30045,RIPPONLEA,NSW,,,RIPPONLEA|NSW,,73
30051,DENDY,NSW,,,DENDY|NSW,,84
30053,WERE STREET PO,NSW,,,WERE STREET PO|NSW,,78
30065,MOORABBIN,NSW,,,MOORABBIN|NSW,,82
30067,MOORABBIN EAST,NSW,,,MOORABBIN EAST|NSW,,83
30071,HIGHETT,NSW,,,HIGHETT|NSW,,73
30079,SOUTHLAND CENTRE,NSW,,,SOUTHLAND CENTRE|NSW,,80
30083,BLACK ROCK,NSW,,,BLACK ROCK|NSW,,81
30085,BLACK ROCK NORTH,NSW,,,BLACK ROCK NORTH|NSW,,80
30090,MENTONE EAST,NSW,,,MENTONE EAST|NSW,,81
30094,ASPENDALE,NSW,,,ASPENDALE|NSW,,80
30098,BRAESIDE,NSW,,,BRAESIDE|NSW,,82
30100,MORDIALLOC,NSW,,,MORDIALLOC|NSW,,79
30106,WATERWAYS,NSW,,,WATERWAYS|NSW,,77
30108,BONBEACH,NSW,,,BONBEACH|NSW,,83
30110,CHELSEA,NSW,,,CHELSEA|NSW,,80
30112,CHELSEA HEIGHTS,NSW,,,CHELSEA HEIGHTS|NSW,,84
30114,EDITHVALE,NSW,,,EDITHVALE|NSW,,82
30116,CARRUM,NSW,,,CARRUM|NSW,,82
30118,PATTERSON LAKES,NSW,,,PATTERSON LAKES|NSW,,79
30126,FRANKSTON EAST,NSW,,,FRANKSTON EAST|NSW,,83
30130,FRANKSTON SOUTH,NSW,,,FRANKSTON SOUTH|NSW,,83
30134,KARINGAL CENTRE,NSW,,,KARINGAL CENTRE|NSW,,84
30138,PINES FOREST,NSW,,,PINES FOREST|NSW,,81
30140,CARRUM DOWNS,NSW,,,CARRUM DOWNS|NSW,,81
30142,HEATHERTON,NSW,,,HEATHERTON|NSW,,80
30146,MCKINNON,NSW,,,MCKINNON|NSW,,76
30148,ORMOND,NSW,,,ORMOND|NSW,,82
30152,SOUTH MELBOURNE,NSW,,,SOUTH MELBOURNE|NSW,,80
30154,SOUTH MELBOURNE DC,NSW,,,SOUTH MELBOURNE DC|NSW,,82
30156,ALBERT PARK,NSW,,,ALBERT PARK|NSW,,83
30158,MIDDLE PARK,NSW,,,MIDDLE PARK|NSW,,81
30160,GARDEN CITY,NSW,,,GARDEN CITY|NSW,,80
30162,PORT MELBOURNE,NSW,,,PORT MELBOURNE|NSW,,78
30169,POINT WILSON,NSW,,,POINT WILSON|NSW,,79
30171,ANAKIE,NSW,,,ANAKIE|NSW,,80
30173,BATESFORD,NSW,,,BATESFORD|NSW,,83
30175,LOVELY BANKS,NSW,,,LOVELY BANKS|NSW,,81
30177,MOORABOOL,NSW,,,MOORABOOL|NSW,,83
30179,CORIO,NSW,,,CORIO|NSW,,84
30181,NORLANE,NSW,,,NORLANE|NSW,,82
30186,BELL POST HILL,NSW,,,BELL POST HILL|NSW,,78
30188,DRUMCONDRA,NSW,,,DRUMCONDRA|NSW,,79
30190,GEELONG NORTH,NSW,,,GEELONG NORTH|NSW,,82
30192,HAMLYN HEIGHTS,NSW,,,HAMLYN HEIGHTS|NSW,,83
30194,NORTH GEELONG,NSW,,,NORTH GEELONG|NSW,,82
30196,RIPPLESIDE,NSW,,,RIPPLESIDE|NSW,,81
30203,GROVEDALE EAST,NSW,,,GROVEDALE EAST|NSW,,83
30211,WANDANA HEIGHTS,NSW,,,WANDANA HEIGHTS|NSW,,84
30213,WAURN PONDS,NSW,,,WAURN PONDS|NSW,,79
30215,ARMSTRONG CREEK,NSW,,,ARMSTRONG CREEK|NSW,,84
30219,DEAKIN UNIVERSITY,NSW,,,DEAKIN UNIVERSITY|NSW,,81
30221,FYANSFORD,NSW,,,FYANSFORD|NSW,,83
30223,GEELONG WEST,NSW,,,GEELONG WEST|NSW,,82
30229,MURGHEBOLUC,NSW,,,MURGHEBOLUC|NSW,,80
30235,EAST GEELONG,NSW,,,EAST GEELONG|NSW,,81
30237,NEWCOMB,NSW,,,NEWCOMB|NSW,,82
30239,ST ALBANS PARK,NSW,,,ST ALBANS PARK|NSW,,84
30241,THOMSON,NSW,,,THOMSON|NSW,,82
30250,SOUTH GEELONG,NSW,,,SOUTH GEELONG|NSW,,82
30256,CERES,NSW,,,CERES|NSW,,78
30258,GEELONG MC,NSW,,,GEELONG MC|NSW,,79
30260,GNARWARRE,NSW,,,GNARWARRE|NSW,,78
30262,GREY RIVER,NSW,,,GREY RIVER|NSW,,80
30264,KENNETT RIVER,NSW,,,KENNETT RIVER|NSW,,76
30268,SEPARATION CREEK,NSW,,,SEPARATION CREEK|NSW,,83
30270,STAUGHTON VALE,NSW,,,STAUGHTON VALE|NSW,,78
30277,WYE RIVER,NSW,,,WYE RIVER|NSW,,81
30279,CLIFTON SPRINGS,NSW,,,CLIFTON SPRINGS|NSW,,79
