rowid,suburb_name,state,postcode,candidate_ssc,score,norm_key,matched_canonical_key
29403,KEILOR PARK,NSW,,11061,83,KEILOR PARK|NSW,CECIL PARK|NSW
29403,KEILOR PARK,NSW,,12725,83,KEILOR PARK|NSW,LALOR PARK|NSW
29403,KEILOR PARK,NSW,,11713,81,KEILOR PARK|NSW,ENGLORIE PARK|NSW
29405,NIDDRIE,NSW,,11613,74,NIDDRIE|NSW,DURI|NSW
29405,NIDDRIE,NSW,,12381,74,NIDDRIE|NSW,INDI|NSW
29405,NIDDRIE,NSW,,10833,73,NIDDRIE|NSW,BUNDURE|NSW
29407,NIDDRIE NORTH,NSW,,22332,82,NIDDRIE NORTH|NSW,NIDDRIE NORTH|VIC
29407,NIDDRIE NORTH,NSW,,13591,81,NIDDRIE NORTH|NSW,NORTH BONDI|NSW
29407,NIDDRIE NORTH,NSW,,11552,76,NIDDRIE NORTH|NSW,DORRIGO NORTH|NSW
29411,GOWANBRAE,NSW,,12071,82,GOWANBRAE|NSW,GOWAN|NSW
29411,GOWANBRAE,NSW,,12032,80,GOWANBRAE|NSW,GOOANDRA|NSW
29411,GOWANBRAE,NSW,,12018,78,GOWANBRAE|NSW,GOARRA|NSW
29415,PASCOE VALE,NSW,,13751,76,PASCOE VALE|NSW,OXLEY VALE|NSW
29415,PASCOE VALE,NSW,,13781,74,PASCOE VALE|NSW,PALMVALE|NSW
29415,PASCOE VALE,NSW,,14792,74,PASCOE VALE|NSW,THE VALE|NSW
29417,PASCOE VALE SOUTH,NSW,,22446,81,PASCOE VALE SOUTH|NSW,PASCOE VALE SOUTH|VIC
29417,PASCOE VALE SOUTH,NSW,,14698,67,PASCOE VALE SOUTH|NSW,TAREE SOUTH|NSW
29417,PASCOE VALE SOUTH,NSW,,14792,67,PASCOE VALE SOUTH|NSW,THE VALE|NSW
29429,JACANA,NSW,,10971,80,JACANA|NSW,CANGAI|NSW
29429,JACANA,NSW,,12405,78,JACANA|NSW,JACKALASS|NSW
29429,JACANA,NSW,,10087,76,JACANA|NSW,ARCADIA|NSW
29433,MEADOW HEIGHTS,NSW,,12973,83,MEADOW HEIGHTS|NSW,MANERA HEIGHTS|NSW
29433,MEADOW HEIGHTS,NSW,,21946,83,MEADOW HEIGHTS|NSW,MEADOW HEIGHTS|VIC
29433,MEADOW HEIGHTS,NSW,,12555,80,MEADOW HEIGHTS|NSW,KIAMA HEIGHTS|NSW
29441,HOTHAM HILL,NSW,,13600,83,HOTHAM HILL|NSW,NORTH HILL|NSW
29441,HOTHAM HILL,NSW,,21449,80,HOTHAM HILL|NSW,HOTHAM HILL|VIC
29441,HOTHAM HILL,NSW,,13652,76,HOTHAM HILL|NSW,NOWRA HILL|NSW
29445,MELBOURNE UNIVERSITY,NSW,,21970,83,MELBOURNE UNIVERSITY|NSW,MELBOURNE UNIVERSITY|VIC
29445,MELBOURNE UNIVERSITY,NSW,,23152,82,MELBOURNE UNIVERSITY|NSW,UNIVERSITY OF MELBOURNE|VIC
29445,MELBOURNE UNIVERSITY,NSW,,12937,79,MELBOURNE UNIVERSITY|NSW,MACQUARIE UNIVERSITY|NSW
29453,PRINCES HILL,NSW,,14058,84,PRINCES HILL|NSW,RILEYS HILL|NSW
29453,PRINCES HILL,NSW,,14350,84,PRINCES HILL|NSW,SPRING HILL|NSW
29453,PRINCES HILL,NSW,,12288,80,PRINCES HILL|NSW,HILL PLAIN|NSW
29455,BRUNSWICK SOUTH,NSW,,20443,79,BRUNSWICK SOUTH|NSW,BRUNSWICK SOUTH|VIC
29455,BRUNSWICK SOUTH,NSW,,10383,76,BRUNSWICK SOUTH|NSW,BERMAGUI SOUTH|NSW
29455,BRUNSWICK SOUTH,NSW,,10063,74,BRUNSWICK SOUTH|NSW,ANABRANCH SOUTH|NSW
29457,BRUNSWICK WEST,NSW,,20444,83,BRUNSWICK WEST|NSW,BRUNSWICK WEST|VIC
29457,BRUNSWICK WEST,NSW,,15262,74,BRUNSWICK WEST|NSW,WEST BUNGAWALBIN|NSW
29457,BRUNSWICK WEST,NSW,,50224,73,BRUNSWICK WEST|NSW,BRUNSWICK|WA
29461,MORELAND WEST,NSW,,13117,83,MORELAND WEST|NSW,MERRYLANDS WEST|NSW
29461,MORELAND WEST,NSW,,22120,82,MORELAND WEST|NSW,MORELAND WEST|VIC
29461,MORELAND WEST,NSW,,12736,80,MORELAND WEST|NSW,LANE COVE WEST|NSW
29465,BRUNSWICK LOWER,NSW,,20441,84,BRUNSWICK LOWER|NSW,BRUNSWICK LOWER|VIC
29465,BRUNSWICK LOWER,NSW,,10765,79,BRUNSWICK LOWER|NSW,BRUNSWICK HEADS|NSW
29465,BRUNSWICK LOWER,NSW,,12895,76,BRUNSWICK LOWER|NSW,LOWER BUCCA|NSW
29467,BRUNSWICK NORTH,NSW,,20442,84,BRUNSWICK NORTH|NSW,BRUNSWICK NORTH|VIC
29467,BRUNSWICK NORTH,NSW,,10765,79,BRUNSWICK NORTH|NSW,BRUNSWICK HEADS|NSW
29467,BRUNSWICK NORTH,NSW,,13591,76,BRUNSWICK NORTH|NSW,NORTH BONDI|NSW
29471,LYGON STREET NORTH,NSW,,21856,82,LYGON STREET NORTH|NSW,LYGON STREET NORTH|VIC
29471,LYGON STREET NORTH,NSW,,13621,72,LYGON STREET NORTH|NSW,NORTH STAR|NSW
29471,LYGON STREET NORTH,NSW,,13618,70,LYGON STREET NORTH|NSW,NORTH SHORE|NSW
29473,SUMNER,NSW,,14197,80,SUMNER|NSW,SANGER|NSW
29473,SUMNER,NSW,,13668,76,SUMNER|NSW,NUNDERI|NSW
29473,SUMNER,NSW,,14340,76,SUMNER|NSW,SPENCER|NSW
29479,COBURG NORTH,NSW,,12069,82,COBURG NORTH|NSW,GOULBURN NORTH|NSW
29479,COBURG NORTH,NSW,,13584,81,COBURG NORTH|NSW,NORTH ALBURY|NSW
29479,COBURG NORTH,NSW,,13592,81,COBURG NORTH|NSW,NORTH BOURKE|NSW
29481,MERLYNSTON,NSW,,11702,80,MERLYNSTON|NSW,EMERTON|NSW
29481,MERLYNSTON,NSW,,21989,79,MERLYNSTON|NSW,MERLYNSTON|VIC
29481,MERLYNSTON,NSW,,11675,77,MERLYNSTON|NSW,EGLINTON|NSW
29487,FAWKNER,NSW,,11789,78,FAWKNER|NSW,FALCONER|NSW
29487,FAWKNER,NSW,,11349,73,FAWKNER|NSW,CRAWNEY|NSW
29487,FAWKNER,NSW,,12417,73,FAWKNER|NSW,JAUNTER|NSW
29489,FAWKNER EAST,NSW,,21079,81,FAWKNER EAST|NSW,FAWKNER EAST|VIC
29489,FAWKNER EAST,NSW,,11656,76,FAWKNER EAST|NSW,EASTLAKES|NSW
29489,FAWKNER EAST,NSW,,11645,73,FAWKNER EAST|NSW,EAST LYNNE|NSW
29491,FAWKNER NORTH,NSW,,21080,82,FAWKNER NORTH|NSW,FAWKNER NORTH|VIC
29491,FAWKNER NORTH,NSW,,13585,80,FAWKNER NORTH|NSW,NORTH ARM|NSW
29491,FAWKNER NORTH,NSW,,13099,75,FAWKNER NORTH|NSW,MERAH NORTH|NSW
29493,CAMPBELLFIELD,NSW,,10322,83,CAMPBELLFIELD|NSW,BELFIELD|NSW
29493,CAMPBELLFIELD,NSW,,20549,82,CAMPBELLFIELD|NSW,CAMPBELLFIELD|VIC
29493,CAMPBELLFIELD,NSW,,13157,80,CAMPBELLFIELD|NSW,MILLFIELD|NSW
29496,OAKLANDS JUNCTION,NSW,,22400,81,OAKLANDS JUNCTION|NSW,OAKLANDS JUNCTION|VIC
29496,OAKLANDS JUNCTION,NSW,,12468,77,OAKLANDS JUNCTION|NSW,JUNCTION POINT|NSW
29496,OAKLANDS JUNCTION,NSW,,14343,74,OAKLANDS JUNCTION|NSW,SPIT JUNCTION|NSW
29498,YUROKE,NSW,,14077,76,YUROKE|NSW,ROCKLEY|NSW
29498,YUROKE,NSW,,15583,76,YUROKE|NSW,YORKLEA|NSW
29498,YUROKE,NSW,,13960,74,YUROKE|NSW,PYREE|NSW
29504,KALKALLO,NSW,,10938,75,KALKALLO|NSW,CALWALLA|NSW
29504,KALKALLO,NSW,,21548,75,KALKALLO|NSW,KALKALLO|VIC
29504,KALKALLO,NSW,,10098,73,KALKALLO|NSW,ARKELL|NSW
29506,MICKLEHAM,NSW,,22007,77,MICKLEHAM|NSW,MICKLEHAM|VIC
29506,MICKLEHAM,NSW,,13146,76,MICKLEHAM|NSW,MILA|NSW
29506,MICKLEHAM,NSW,,12620,75,MICKLEHAM|NSW,KIRKHAM|NSW
29508,ROXBURGH PARK,NSW,,13798,76,ROXBURGH PARK|NSW,PARKESBOROUGH|NSW
29508,ROXBURGH PARK,NSW,,22656,76,ROXBURGH PARK|NSW,ROXBURGH PARK|VIC
29508,ROXBURGH PARK,NSW,,14164,69,ROXBURGH PARK|NSW,RYE PARK|NSW
