ssc,suburb_name,state,postcodes
10459,BINYA,NSW,2665
10460,BIRAGANBIL,NSW,2852
10461,BIRCHGROVE,NSW,2041
10462,BIRDLIP,NSW,2655
10463,BIRDWOOD,NSW,2446
10464,BIRGANBIGIL,NSW,2710
10465,BIRMINGHAM GARDENS,NSW,2287
10466,BIRREGURRA,NSW,2700
10467,BIRRIWA,NSW,2844
10468,BIRRONG,NSW,2143
10469,BISHOPS BRIDGE,NSW,2326
10470,BITHRAMERE,NSW,2340
10471,BLACK CREEK,NSW,2439
10472,BLACK CREEK,NSW,2729
10473,BLACK HEAD,NSW,2430
10474,BLACK HILL,NSW,2322
10475,BLACK HOLLOW,NSW,2828
10476,BLACK MOUNTAIN,NSW,2365
10477,BLACK RANGE,NSW,2550
10478,BLACK SPRINGS,NSW,2787
10479,BUCKLEY SWAMP,NSW,2372
10480,BLACKALLS PARK,NSW,2283
10481,BLACKBUTT,NSW,2529
10482,BLACKETT,NSW,2770
10483,BLACKHEATH,NSW,2785
10484,BLACKMANS FLAT,NSW,2790
10485,BLACKMANS POINT,NSW,2444
10486,BLACKSMITHS,NSW,2281
10487,BLACKTOWN,NSW,2148
10488,BLACKTOWN WESTPOINT,NSW,2148
10489,BLAKEVILLE,NSW,2343
10490,BLACKWALL,NSW,2256
10491,BLAIR ATHOL,NSW,2560
10492,BLAIRMOUNT,NSW,2559
10493,BLAKEBROOK,NSW,2480
10494,BLAKEHURST,NSW,2221
10495,BLAKNEY CREEK,NSW,2581
10496,BLAND,NSW,2721
10497,BLANDFORD,NSW,2338
10498,BLANKET FLAT,NSW,2583
10499,BLAXCELL,NSW,2142
10500,BLAXLAND,NSW,2774
10501,BLAXLAND EAST,NSW,2774
10502,BLAXLANDS CREEK,NSW,2460
10503,BLAXLANDS FLAT,NSW,2460
10504,BLAXLANDS RIDGE,NSW,2758
10505,BLAYNEY,NSW,2799
10506,BLENHEIM ROAD,NSW,2113
10507,BLETCHINGTON,NSW,2800
10508,BLIGH PARK,NSW,2756
10509,HIGHETT,NSW,2713
10510,BROOMFIELD,NSW,2800
10511,BLOWERING,NSW,2720
10512,BLUE BAY,NSW,2261
10513,BLUE COW,NSW,2624
10514,BLUE HAVEN,NSW,2262
10515,BLUE KNOB,NSW,2480
10516,BLUE NOBBY,NSW,2408
