rowid,suburb_name,state,postcode,candidate_ssc,score,matched_canonical_key
30317,ANGLESEA,NSW,,10218,83,BANGALEE|NSW
30319,AIREYS INLET,NSW,,20015,81,AIREYS INLET|VIC
30322,EASTERN VIEW,NSW,,20998,81,EASTERN VIEW|VIC
30324,FAIRHAVEN,NSW,,11092,81,CHARMHAVEN|NSW
30331,CAPE OTWAY,NSW,,20567,71,CAPE OTWAY|VIC
30334,PETTICOAT CREEK,NSW,,13906,79,POLA CREEK|NSW
30338,SKENES CREEK NORTH,NSW,,22760,82,SKENES CREEK NORTH|VIC
30340,BENWERRIN,NSW,,10695,81,BREWARRINA|NSW
30344,DEANS MARSH,NSW,,20867,80,DEANS MARSH|VIC
30346,PENNYROYAL,NSW,,13846,72,PENROSE|NSW
30352,AIRE VALLEY,NSW,,12106,84,GREEN VALLEY|NSW
30354,BEECH FOREST,NSW,,10166,84,BACK FOREST|NSW
30362,WEEAPROINAH,NSW,,23302,80,WEEAPROINAH|VIC
30370,HORDERN VALE,NSW,,11491,83,DEER VALE|NSW
30372,JOHANNA,NSW,,12415,82,JANNALI|NSW
30374,LAVERS HILL,NSW,,12879,83,LORDS HILL|NSW
30376,CARLISLE RIVER,NSW,,12840,82,LITTLE RIVER|NSW
30378,CHAPPLE VALE,NSW,,10974,84,CANLEY VALE|NSW
30380,GELLIBRAND,NSW,,11688,83,ELLAND|NSW
30382,KENNEDYS CREEK,NSW,,12000,83,GLENNIES CREEK|NSW
30386,GHERANG,NSW,,10381,82,BERLANG|NSW
30388,MODEWARRE,NSW,,22064,77,MODEWARRE|VIC
30390,MORIAC,NSW,,13214,84,MOIRA|NSW
30392,MOUNT MORIAC,NSW,,22176,81,MOUNT MORIAC|VIC
30394,PARAPARAP,NSW,,15526,78,YARARA|NSW
30398,OMBERSLEY,NSW,,13700,82,OBLEY|NSW
30400,WENSLEYDALE,NSW,,15283,81,WESTDALE|NSW
30402,WINCHELSEA,NSW,,23373,79,WINCHELSEA|VIC
30404,WINCHELSEA SOUTH,NSW,,23374,80,WINCHELSEA SOUTH|VIC
30406,WURDIBOLUC,NSW,,23461,79,WURDIBOLUC|VIC
30408,BIRREGURRA,NSW,,10466,80,BIRREGO|NSW
30410,BARWON DOWNS,NSW,,20195,81,BARWON DOWNS|VIC
30412,GERANGAMETE,NSW,,11899,80,GANGAT|NSW
30414,MURROON,NSW,,13193,82,MIRROOL|NSW
30416,WARNCOORT,NSW,,15185,78,WARROO|NSW
30418,WHOOREL,NSW,,15451,80,WOOLI|NSW
30434,DREEITE,NSW,,11492,78,DELEGATE|NSW
30436,DREEITE SOUTH,NSW,,11303,81,COREE SOUTH|NSW
30440,IRREWILLIPE,NSW,,21492,80,IRREWILLIPE|VIC
30446,LARPENT,NSW,,12746,82,LARBERT|NSW
30448,NALANGIL,NSW,,12475,82,KALANG|NSW
30450,ONDIT,NSW,,13911,78,PONTO|NSW
30452,PIRRON YALLOCK,NSW,,22493,78,PIRRON YALLOCK|VIC
30454,POMBORNEIT EAST,NSW,,22506,79,POMBORNEIT EAST|VIC
30456,SWAN MARSH,NSW,,14176,77,SALT ASH|NSW
30458,TANYBRYN,NSW,,14682,75,TANNABAR|NSW
30462,WOOL WOOL,NSW,,15450,81,WOOLGOOLGA|NSW
30466,YEODENE,NSW,,15498,82,WYNEDEN|NSW
30470,COLAC EAST,NSW,,11633,83,EAST CORAKI|NSW
30472,COLAC WEST,NSW,,15264,83,WEST CORAKI|NSW
30474,ELLIMINYT,NSW,,21026,77,ELLIMINYT|VIC
30476,BEEAC,NSW,,10691,84,BREEZA|NSW
30478,CUNDARE,NSW,,10833,82,BUNDURE|NSW
