ssc,suburb_name,state
15018,UPPER MAIN ARM,NSW
15032,UPPER WILSONS CREEK,NSW
15135,WANGANUI,NSW
15347,WILSONS CREEK,NSW
14779,THE POCKET,NSW
14996,UPPER BURRINGBAR,NSW
15469,WOOYUNG,NSW
15562,YELGUN,NSW
14740,TERRAGON,NSW
14852,TOMEWIN,NSW
14966,TYALGUM,NSW
14967,TYALGUM CREEK,NSW
14968,TYGALGAH,NSW
14972,UKI,NSW
15004,UPPER CRYSTAL CREEK,NSW
15046,URLIUP,NSW
15147,WARDROP VALLEY,NSW
15591,ZARA,NSW
14955,TWEED HEADS,NSW
14958,TWEED HEADS WEST,NSW
14742,TERRANORA,NSW
14956,TWEED HEADS SOUTH,NSW
14957,TWEED HEADS SOUTH DC,NSW
15007,UPPER DUROBY,NSW
14678,TANGLEWOOD,NSW
14933,TUMBULGUM,NSW
15277,WEST WOLLONGONG,NSW
15399,WOLLONGONG,NSW
15401,WOLLONGONG DC,NSW
15402,WOLLONGONG NORTH,NSW
15403,WOLLONGONG WEST,NSW
15171,WARRAWONG,NSW
15473,WORONORA DAM,NSW
14800,THIRROUL,NSW
15408,WOMBARRA,NSW
15465,WOONONA,NSW
15466,WOONONA EAST,NSW
14705,TARRAWANNA,NSW
14891,TOWRADGI,NSW
15400,WOLLONGONG,NSW
14989,UNIVERSITY OF WOLLONGONG,NSW
14982,UNANDERRA,NSW
14983,UNANDERRA DC,NSW
14858,TONGARRA,NSW
14927,TULLIMBAR,NSW
15565,YELLOW ROCK,NSW
15154,WARILLA,NSW
15354,WINDANG,NSW
15420,WONGAWILLI,NSW
15511,YALLAH,NSW
14861,TOOLIJOOA,NSW
15252,WERRI BEACH,NSW
15342,WILLOW VALE,NSW
15205,WATTAMOLLA,NSW
15432,WOODHILL,NSW
15434,WOODLANDS,NSW
14847,TOMAKIN,NSW
14946,TURLINJAH,NSW
14950,TUROSS HEAD,NSW
15120,WAMBAN,NSW
15426,WOODBURN,NSW
15443,WOODSTOCK,NSW
14736,TERMEIL,NSW
14975,ULLADULLA,NSW
15505,YADBORO,NSW
15559,YATTE YATTAH,NSW
14663,TALLOWAL,NSW
14687,TAPITALLEE,NSW
14734,TERARA,NSW
14851,TOMERONG,NSW
14924,TULLARWALLA,NSW
14961,TWELVE MILE PEG,NSW
15063,VINCENTIA,NSW
15128,WANDANDIAN,NSW
15199,WATERSLEIGH,NSW
15405,WOLLUMBOOLA,NSW
15454,WOOLLAMIA,NSW
15475,WORRIGEE,NSW
15476,WORROWING HEIGHTS,NSW
80168,WRECK BAY,ACT
15481,WRIGHTS BEACH,NSW
15515,YALWAL,NSW
15576,YERRIYONG,NSW
15269,WEST NOWRA,NSW
14819,TILBA TILBA,NSW
14833,TINPOT,NSW
15069,WADBILLIGA,NSW
15097,WALLAGA LAKE,NSW
15098,WALLAGA LAKE HEIGHTS,NSW
14944,TURA BEACH,NSW
15564,YELLOW PINCH,NSW
14681,TANJA,NSW
14685,TANTAWANGALO,NSW
14704,TARRAGANDA,NSW
14710,TATHRA,NSW
14874,TOOTHDALE,NSW
14889,TOWAMBA,NSW
15060,VERONA,NSW
15099,WALLAGOOT,NSW
15129,WANDELLA,NSW
15140,WAPENGO,NSW
15387,WOG WOG,NSW
15407,WOLUMLA,NSW
15497,WYNDHAM,NSW
15517,YAMBULLA,NSW
15521,YANKEES CREEK,NSW
15587,YOWRIE,NSW
14825,TIMBILLICA,NSW
15414,WONBOYN,NSW
15415,WONBOYN LAKE,NSW
15416,WONBOYN NORTH,NSW
15225,WEDDERBURN,NSW
15424,WOODBINE,NSW
15057,VARROVILLE,NSW
14776,THE OAKS,NSW
14795,THERESA PARK,NSW
15251,WEROMBI,NSW
15349,WILTON,NSW
14798,THIRLMERE,NSW
14653,TAHMOOR,NSW
15519,YANDERRA,NSW
15210,WATTLE RIDGE,NSW
15237,WELBY,NSW
15343,WILLOW VALE,NSW
15435,WOODLANDS,NSW
15575,YERRINBOOL,NSW
15013,UPPER KANGAROO RIVER,NSW
15014,UPPER KANGAROO VALLEY,NSW
15248,WERAI,NSW
15326,WILDES MEADOW,NSW
15554,YARRUNGA,NSW
14662,TALLONG,NSW
15369,WINGELLO,NSW
14690,TARAGO,NSW
14691,TARALGA,NSW
14702,TARLO,NSW
14839,TIRRANNAVILLE,NSW
14892,TOWRANG,NSW
15220,WAYO,NSW
15314,WIABOROUGH,NSW
15317,WIARBOROUGH,NSW
15356,WINDELLAMA,NSW
15411,WOMBEYAN CAVES,NSW
15433,WOODHOUSELEE,NSW
15477,WOWAGIN,NSW
15510,YALBRAITH,NSW
15527,YARRA,NSW
14658,TALLAGANDA,NSW
15395,WOLLOGORANG,NSW
14679,TANGMANGAROO,NSW
15226,WEE JASPER,NSW
15449,WOOLGARLO,NSW
15555,YASS,NSW
15556,YASS RIVER,NSW
14750,THALABA,NSW
14796,THIRD CREEK,NSW
14918,TUENA,NSW
15300,WHEEO,NSW
14715,TAYLORS FLAT,NSW
15409,WOMBAT,NSW
15110,WALLENDBEEN,NSW
14807,THUDDUNGRA,NSW
14912,TUBBUL,NSW
15228,WEEDALLION,NSW
15522,YANNAWAH,NSW
15585,YOUNG,NSW
80138,RUSSELL,ACT
80139,RUSSELL HILL,ACT
80170,YARRALUMLA,ACT
80161,WATSON,ACT
80145,SWINGER HILL,ACT
80167,WODEN,ACT
80152,TORRENS,ACT
80146,SYMONSTON,ACT
80137,RIVETT,ACT
80142,STIRLING,ACT
80144,STROMLO,ACT
15043,URIARRA,NSW
80157,URIARRA FOREST,ACT
80158,URIARRA VILLAGE,ACT
80160,WARAMANGA,ACT
80163,WESTON,ACT
80164,WESTON CREEK,ACT
80165,WHITLAM,ACT
80169,WRIGHT,ACT
80155,TURNER,ACT
80140,SCULLIN,ACT
80162,WEETANGERA,ACT
80141,SPENCE,ACT
80143,STRATHNAIRN,ACT
80156,UNIVERSITY OF CANBERRA,ACT
15109,WALLAROO,NSW
80148,THARWA,ACT
14753,THE ANGLE,NSW
14781,THE RIDGEWAY,NSW
14829,TINDERRY,NSW
80151,TOP NAAS,ACT
14894,TRALEE,NSW
